iteration,learning_rate,batch_size,gru_units,cnn_filters,dense_units,dropout,f1_score,accuracy,epochs_run
53,0.0023728965387725055,64,56,44,102,0.11547533030495256,0.9347702779353375,0.9363233665559247,11
54,0.0016186922257777157,64,86,50,99,0.24320661584750672,0.9358533791523482,0.937984496124031,7
55,0.0023357502148395304,43,80,58,89,0.16483305224507339,0.9385410683515221,0.9407530454042082,10
56,0.0025157957804819967,63,77,34,128,0.1143028767271841,0.9330227140361095,0.9363233665559247,8
57,0.001934700692865077,64,57,53,107,0.19363061593748773,0.9345686160972785,0.9374307862679956,8
58,0.0023768722572283167,59,52,52,56,0.1634850307285168,0.9296600234466589,0.9335548172757475,10
59,0.0017735746719730085,64,39,61,95,0.15368496388086086,0.9371757925072046,0.9396456256921373,10
60,0.002230372250444554,54,49,56,95,0.21000554978339267,0.9368770764119602,0.9368770764119602,14
61,0.0021504258112178226,61,62,37,99,0.1317880602869431,0.9389774601429357,0.9385382059800664,14
62,0.001964908287988091,64,52,53,96,0.17884041742690038,0.9356081452944414,0.9352159468438538,16
63,0.0023441233274697415,51,87,48,91,0.14303548923872977,0.9402985074626866,0.9424141749723145,12
64,0.002076198385728299,63,49,44,94,0.16416004345582433,0.9349593495934959,0.937984496124031,10
65,0.0020265750145652033,56,70,45,73,0.21126510391173922,0.9430985915492958,0.9440753045404208,10
66,0.0018539766117830622,64,72,21,72,0.12704293066872394,0.9384264538198404,0.9401993355481728,10
